sampleID,Psi3_Junctions,Psi5_Junctions,Theta_Junctions,All_Junctions,Jaccard_Junctions,Psi3_Junctions_01,Psi5_Junctions_01,Theta_Junctions_01,All_Junctions_01,Jaccard_Junctions_01,Psi3_Junctions_001,Psi5_Junctions_001,Theta_Junctions_001,All_Junctions_001,Jaccard_Junctions_001,Psi3_Junctions_1e_6,Psi5_Junctions_1e_6,Theta_Junctions_1e_6,All_Junctions_1e_6,Jaccard_Junctions_1e_6,Psi3_Genes,Psi5_Genes,Theta_Genes,All_Genes,Jaccard_Genes,Psi3_Genes_01,Psi5_Genes_01,Theta_Genes_01,All_Genes_01,Jaccard_Genes_01,Psi3_Genes_001,Psi5_Genes_001,Theta_Genes_001,All_Genes_001,Jaccard_Genes_001,Psi3_Genes_1e_6,Psi5_Genes_1e_6,Theta_Genes_1e_6,All_Genes_1e_6,Jaccard_Genes_1e_6,no_theta_juncs_in_MIGs,no_jaccard_juncs_in_MIGs,no_MIGs_with_theta_juncs
UDN878321,146,157,135,438,6,91,97,60,248,5,54,54,21,129,4,11,15,0,26,0,107,115,117,315,4,67,72,51,177,3,41,41,19,93,2,7,12,0,16,0,6,0,6
GSS153637,144,115,24,283,3,87,77,5,169,2,51,46,2,99,1,5,13,0,18,1,105,92,21,196,3,69,63,5,124,2,41,39,2,75,1,5,11,0,15,1,0,0,0
RD388,144,161,86,391,16,86,98,40,224,11,42,50,15,107,5,12,16,2,30,3,102,107,72,251,13,65,67,34,150,9,33,34,12,72,3,9,9,1,17,2,6,1,6
RD420,144,237,263,644,489,85,152,125,362,170,41,82,41,164,37,4,15,2,21,3,101,153,221,446,380,57,96,107,245,140,25,50,33,104,31,3,10,1,14,2,16,33,15
GSS214169,143,147,35,325,27,95,79,12,186,6,51,45,6,102,2,12,7,3,22,1,104,100,32,218,23,66,58,11,129,6,34,34,6,69,2,6,6,3,14,1,0,3,0
UDN412565,143,88,41,272,8,81,55,20,156,5,43,39,13,95,3,11,9,0,20,0,102,71,30,180,8,61,44,13,106,5,34,29,10,64,3,8,7,0,13,0,1,0,1
UDN761105,143,144,163,450,12,80,79,83,242,4,45,43,36,124,0,17,13,1,31,0,102,102,143,317,10,55,58,74,178,3,31,32,32,90,0,9,9,1,17,0,6,1,6
RD381,142,116,60,318,6,79,77,26,182,5,37,39,15,91,5,6,12,3,21,2,112,87,50,225,3,63,58,19,129,2,30,30,10,66,2,4,9,2,14,1,3,0,2
GSS296409,136,140,136,412,4,72,90,74,236,1,31,45,31,107,1,9,12,3,24,1,103,103,115,294,3,57,65,64,173,1,26,33,29,82,1,7,7,3,13,1,2,0,2
RD146,132,123,39,294,335,78,60,11,149,132,44,30,5,79,39,3,6,1,10,6,84,81,34,187,253,47,39,9,89,100,30,21,4,51,30,2,3,1,6,6,3,16,2
RD419,131,126,109,366,156,70,76,48,194,61,31,25,13,69,20,8,6,2,16,0,87,87,95,245,129,49,54,45,137,53,23,18,12,51,17,7,4,2,12,0,9,6,8
RD412,130,100,47,277,7,74,57,22,153,5,41,32,6,79,3,15,8,1,24,0,94,70,37,190,6,52,40,18,103,4,28,23,5,52,2,9,4,1,13,0,2,1,2
