sampleID,Psi3_Junctions,Psi5_Junctions,Theta_Junctions,All_Junctions,Jaccard_Junctions,Psi3_Junctions_01,Psi5_Junctions_01,Theta_Junctions_01,All_Junctions_01,Jaccard_Junctions_01,Psi3_Junctions_001,Psi5_Junctions_001,Theta_Junctions_001,All_Junctions_001,Jaccard_Junctions_001,Psi3_Junctions_1e_6,Psi5_Junctions_1e_6,Theta_Junctions_1e_6,All_Junctions_1e_6,Jaccard_Junctions_1e_6,Psi3_Genes,Psi5_Genes,Theta_Genes,All_Genes,Jaccard_Genes,Psi3_Genes_01,Psi5_Genes_01,Theta_Genes_01,All_Genes_01,Jaccard_Genes_01,Psi3_Genes_001,Psi5_Genes_001,Theta_Genes_001,All_Genes_001,Jaccard_Genes_001,Psi3_Genes_1e_6,Psi5_Genes_1e_6,Theta_Genes_1e_6,All_Genes_1e_6,Jaccard_Genes_1e_6,no_theta_juncs_in_MIGs,no_jaccard_juncs_in_MIGs,no_MIGs_with_theta_juncs
UDN412565,136,89,42,267,5,84,59,18,161,3,41,42,14,97,1,11,9,0,20,0,98,71,31,179,5,63,48,10,108,3,32,31,9,64,1,8,7,0,13,0,1,0,NA
RD388,131,152,80,363,9,81,96,39,216,5,41,49,15,105,4,9,14,2,25,2,94,106,66,236,7,61,67,33,146,3,32,35,12,73,3,7,9,1,16,1,6,0,NA
RD462,130,115,50,295,3,81,66,32,179,2,45,31,17,93,2,11,3,4,18,1,79,75,44,183,1,51,43,28,113,1,27,18,15,55,1,8,2,3,12,1,3,0,NA
UDN761105,129,140,158,427,2,75,84,84,243,0,46,43,31,120,0,17,13,2,32,0,92,99,138,303,1,53,62,75,181,0,31,33,26,85,0,9,10,2,19,0,6,0,NA
GSS219199,128,160,174,462,6,70,92,75,237,5,30,58,31,119,3,8,6,5,19,2,98,115,147,342,3,51,70,67,179,2,23,46,26,92,1,6,5,2,13,1,5,0,NA
RD146,128,129,35,292,107,78,62,10,150,45,44,31,5,80,13,3,6,1,10,2,82,86,30,186,78,47,41,9,90,30,30,22,4,52,9,2,3,1,6,2,3,5,NA
GSS296409,125,137,127,389,1,67,86,66,219,1,32,45,28,105,1,9,12,4,25,1,97,102,111,281,1,53,64,57,163,1,26,34,26,80,1,7,7,4,14,1,2,0,NA
RD412,123,102,44,269,4,73,59,22,154,3,41,32,5,78,1,14,9,1,24,0,91,74,34,189,3,52,42,18,105,2,28,23,4,51,1,8,5,1,13,0,2,0,NA
RD385,122,145,300,567,13,75,90,135,300,6,37,52,60,149,3,11,16,13,40,2,87,101,251,417,11,52,58,111,207,5,26,35,49,103,2,8,9,10,26,2,17,3,NA
RD419,122,115,98,335,35,81,69,48,198,18,33,17,15,65,8,8,4,2,14,0,83,82,84,225,28,54,50,45,140,16,25,12,14,50,7,7,3,2,11,0,7,1,NA
GSS178187,120,132,82,334,5,74,75,40,189,3,55,41,18,114,3,13,7,3,23,1,93,93,74,235,3,59,49,37,133,2,42,28,16,78,2,11,5,3,16,1,2,0,NA
GSS284499,120,102,67,289,6,76,63,34,173,5,31,27,12,70,2,8,6,1,15,0,93,76,58,210,4,57,45,29,121,3,23,19,11,50,1,6,3,1,9,0,5,0,NA
RD439,117,121,30,268,6,64,58,13,135,5,31,26,6,63,1,5,6,1,12,0,81,81,22,175,5,46,42,9,91,5,24,19,5,45,1,5,1,1,7,0,3,1,NA
GSS278189,116,110,56,282,1,71,71,28,170,1,30,33,8,71,0,8,5,1,14,0,81,75,48,188,0,49,46,24,111,0,21,24,5,46,0,5,4,1,10,0,0,0,NA
